filerange 12000 12563
rangestart 12000 12563

// Subtitles
12000	Scout
12001	<b>Description:</b> Reconnaissance Fighter.  Fast engines and strong sensors. \n\n<b>Strong vs:</b> None. \n<b>Weak vs:</b> Fighters, Corvettes, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> None
12002	Interceptor
12003	<b>Description:</b> Anti-Strike Craft Fighter.  Excels at dogfights with other strike craft. \n\n<b>Strong vs:</b> Fighters.  \n<b>Weak vs:</b> Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Fighter Drive, Fighter Chassis.
12004	Attack Bomber
12005	<b>Description:</b> Anti-Capital Ship Fighter.  Launches slow but damaging plasma bombs. \n\n<b>Strong vs:</b> Frigates, Capital Ships and Subsystems. \n<b>Weak vs:</b>  Fighters, Corvettes and Anti-Fighter Frigates. \n\n<b>Prerequisites:</b> Fighter Drive, Fighter Chassis, Plasma Bomb Launcher.
12006	Defender
12007	<b>Description:</b> Heavy Defense Fighter.  Designed to protect larger vessels from strike craft. \n\n<b>Strong vs:</b> Fighters.  \n<b>Weak vs:</b> Corvettes, Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Fighter Drive, Defender Sub-Systems.
12008	Cloaked Fighter
12009	<b>Description:</b> Covert Operations Fighter.  Personal cloaking field renders the craft invisible. \n\n<b>Strong vs:</b> Fighters and Corvettes.  \n<b>Weak vs:</b> Scouts and Proximity Sensors. \n\n<b>Prerequisites:</b> Fighter Drive, Fighter Chassis, Cloaked Fighter.
12010	Defense Fighter
12011	<b>Description:</b> Anti-Projectile Fighter.  Destroys incoming projectiles with targeted lasers. \n\n<b>Strong vs:</b> Missiles and Mines.  \n<b>Weak vs:</b> Fighters, Corvettes, Frigates and Capital Ships \n\n<b>Prerequisites:</b> Fighter Drive, Fighter Chassis, Defense Fighter.
12012	Light Corvette
12013	<b>Description:</b> Light Attack Corvette.  Basic early-tier heavy strike craft. \n\n<b>Strong vs:</b> Fighters. \n<b>Weak vs:</b> Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Corvette Drive, Corvette Chassis.
12014	Heavy Corvette
12015	<b>Description:</b> Heavy Assault Corvette.  Heaviest weapons and armor of any strike craft. \n\n<b>Strong vs:</b> Fighters and Corvettes. \n<b>Weak vs:</b> Anti-Strike Craft Frigates and Capital Ships. \n\n<b>Prerequisites: </b> Corvette Drive, Corvette Chassis, Heavy Corvette Upgrade.
12016	Multi-Gun Corvette
12017	<b>Description:</b> Anti-Fighter Corvette.  Specializes in taking out large fighter groups. \n\n<b>Strong vs:</b> Fighters. \n<b>Weak vs:</b> Frigates and Capital Ships. \n\n<b>Prerequisites:</b> Corvette Drive, Corvette Chassis, Fast-Tracking Turrets.
12018	Minelayer Corvette
